List,Surah,Ayah
guidance,Al-Fatiha,6
guidance,Al-Fatiha,7
guidance,Al-Baqarah,2
guidance,Al-Baqarah,5
guidance,Al-Baqarah,16
guidance,Al-Baqarah,38
guidance,Al-Baqarah,97
guidance,Al-Baqarah,120
guidance,Al-Baqarah,159
guidance,Al-Baqarah,175
guidance,Al-Baqarah,185
guidance,Al-Baqarah,272
guidance,Al-Imran,4
guidance,Al-Imran,73
guidance,Al-Imran,96
guidance,Al-Imran,138
guidance,An-Nisa,115
guidance,Al-Ma'idah,44
guidance,Al-Ma'idah,46
guidance,Al-Anam,35
guidance,Al-Anam,71
guidance,Al-Anam,88
guidance,Al-Anam,90
guidance,Al-Anam,91
guidance,Al-Anam,154
guidance,Al-Anam,157
guidance,Al-A'raf,43
guidance,Al-A'raf,52
guidance,Al-A'raf,154
guidance,Al-A'raf,193
guidance,Al-A'raf,198
guidance,Al-A'raf,203
guidance,At-Taubah,33
guidance,Yunus,57
guidance,Yusuf,111
guidance,An-Nahl,37
guidance,An-Nahl,64
guidance,An-Nahl,89
guidance,An-Nahl,102
guidance,Al-Isra,2
guidance,Al-Isra,94
guidance,Al-Kahf,13
guidance,Al-Kahf,55
guidance,Al-Kahf,57
guidance,Al-Kahf,66
guidance,Maryam,76
guidance,Ta-Ha,10
guidance,Ta-Ha,47
guidance,Ta-Ha,123
guidance,Al-Anbiya,51
guidance,Al-Hajj,8
guidance,Al-Hajj,67
guidance,An-Naml,2
guidance,An-Naml,77
guidance,An-Naml,92
guidance,Al-Qasas,37
guidance,Al-Qasas,43
guidance,Al-Qasas,50
guidance,Al-Qasas,57
guidance,Al-Qasas,85
guidance,Luqman,3
guidance,Luqman,5
guidance,Luqman,20
guidance,As-Sajdah,13
guidance,Saba,24
guidance,Saba,32
guidance,Az-Zumar,23
guidance,Az-Zumar,41
guidance,Ghafir,53
guidance,Fussilat,17
guidance,Fussilat,40
guidance,Fussilat,44
guidance,Az-Zukhruf,24
guidance,Al-Jathiyah,11
guidance,Al-Jathiyah,20
guidance,Muhammad,17
guidance,Muhammad,25
guidance,Muhammad,32
guidance,Al-Fath,28
guidance,An-Najm,23
guidance,As-Saff,9
guidance,Al-Jinn,13
guidance,Al-Lail,12
guidance,Al-Alaq,11
haram-and-forbidden,Al-Baqarah,173
haram-and-forbidden,Al-Baqarah,194
haram-and-forbidden,Al-Baqarah,275
haram-and-forbidden,Al-Imran,50
haram-and-forbidden,An-Nisa,23
haram-and-forbidden,An-Nisa,31
haram-and-forbidden,An-Nisa,160
haram-and-forbidden,An-Nisa,161
haram-and-forbidden,Al-Ma'idah,3
haram-and-forbidden,Al-Ma'idah,26
haram-and-forbidden,Al-Ma'idah,42
haram-and-forbidden,Al-Ma'idah,62
haram-and-forbidden,Al-Ma'idah,63
haram-and-forbidden,Al-Ma'idah,72
haram-and-forbidden,Al-Ma'idah,87
haram-and-forbidden,Al-Anam,28
haram-and-forbidden,Al-Anam,56
haram-and-forbidden,Al-Anam,119
haram-and-forbidden,Al-Anam,138
haram-and-forbidden,Al-Anam,139
haram-and-forbidden,Al-Anam,140
haram-and-forbidden,Al-Anam,143
haram-and-forbidden,Al-Anam,144
haram-and-forbidden,Al-Anam,145
haram-and-forbidden,Al-Anam,146
haram-and-forbidden,Al-Anam,150
haram-and-forbidden,Al-Anam,151
haram-and-forbidden,Al-A'raf,32
haram-and-forbidden,Al-A'raf,33
haram-and-forbidden,Al-A'raf,50
haram-and-forbidden,Al-A'raf,166
haram-and-forbidden,At-Taubah,37
haram-and-forbidden,Yunus,59
haram-and-forbidden,An-Nahl,35
haram-and-forbidden,An-Nahl,115
haram-and-forbidden,An-Nahl,116
haram-and-forbidden,Al-Isra,32
haram-and-forbidden,Al-Isra,33
haram-and-forbidden,Al-Anbiya,95
haram-and-forbidden,An-Nur,3
haram-and-forbidden,Al-Furqan,22
haram-and-forbidden,Al-Furqan,53
haram-and-forbidden,Al-Furqan,68
haram-and-forbidden,Al-Qasas,12
haram-and-forbidden,Ghafir,66
haram-and-forbidden,Al-Waqi'ah,33
